"coverage","length","m","n","degree","corrected"
0.8408,0.405971280120284,1,10,1,"yes"
0.9076,0.421472076280626,2,10,1,"yes"
0.9078,0.414500235573857,3,10,1,"yes"
0.926,0.419815877560346,1,30,1,"yes"
0.931,0.405531527138828,2,30,1,"yes"
0.9368,0.402406450182582,3,30,1,"yes"
0.9322,0.406960420510619,1,50,1,"yes"
0.937,0.402041530225436,2,50,1,"yes"
0.9368,0.402021095703419,3,50,1,"yes"
0.8524,0.384232358335676,1,10,1,"no"
0.8922,0.402635302652594,2,10,1,"no"
0.8962,0.401849444594565,3,10,1,"no"
0.9108,0.399970453110186,1,30,1,"no"
0.9212,0.403770009611587,2,30,1,"no"
0.9226,0.399906794423906,3,30,1,"no"
0.9286,0.401543489686741,1,50,1,"no"
0.9318,0.401368000842902,2,50,1,"no"
0.9442,0.404757080667023,3,50,1,"no"
0.8528,0.399658431590782,1,10,2,"yes"
0.908,0.40937774415636,2,10,2,"yes"
0.9248,0.409292918104702,3,10,2,"yes"
0.9134,0.399743591805034,1,30,2,"yes"
0.9262,0.392971520653003,2,30,2,"yes"
0.9392,0.397226068829751,3,30,2,"yes"
0.9298,0.397355752168067,1,50,2,"yes"
0.9382,0.394967755952724,2,50,2,"yes"
0.9366,0.392840117967138,3,50,2,"yes"
0.8368,0.376394780532574,1,10,2,"no"
0.895,0.395466481668723,2,10,2,"no"
0.918,0.400238877479989,3,10,2,"no"
0.8998,0.390558306749068,1,30,2,"no"
0.933,0.401001053163106,2,30,2,"no"
0.9396,0.39695240616204,3,30,2,"no"
0.9244,0.395753062301531,1,50,2,"no"
0.938,0.398032819119258,2,50,2,"no"
0.9436,0.397821972003858,3,50,2,"no"
