"coverage","length","m","n","degree","corrected"
0.9484,0.202067300996047,1,10,1,"yes"
0.9566,0.146353560034561,2,10,1,"yes"
0.9584,0.137689010899359,3,10,1,"yes"
0.9498,0.131916068864703,1,30,1,"yes"
0.9568,0.124871550935556,2,30,1,"yes"
0.9558,0.122159699974408,3,30,1,"yes"
0.9514,0.125337214517328,1,50,1,"yes"
0.9546,0.120456945218112,2,50,1,"yes"
0.9562,0.119041827734277,3,50,1,"yes"
0.9472,0.187938084845512,1,10,1,"no"
0.9394,0.137319336987802,2,10,1,"no"
0.9346,0.1305702358641,3,10,1,"no"
0.935,0.124476354937821,1,30,1,"no"
0.9362,0.120078843382619,2,30,1,"no"
0.9418,0.119012025321798,3,30,1,"no"
0.9354,0.119713415894644,1,50,1,"no"
0.9418,0.117286069568961,2,50,1,"no"
0.9432,0.116359122522102,3,50,1,"no"
0.9388,0.179495998901893,1,10,2,"yes"
0.95,0.141781880551752,2,10,2,"yes"
0.9516,0.134025503429894,3,10,2,"yes"
0.942,0.133492600486719,1,30,2,"yes"
0.954,0.125891765460707,2,30,2,"yes"
0.9444,0.122529722500154,3,30,2,"yes"
0.952,0.12716514254345,1,50,2,"yes"
0.9504,0.122205573128883,2,50,2,"yes"
0.9482,0.120111791587695,3,50,2,"yes"
0.9286,0.16226254041986,1,10,2,"no"
0.9354,0.133134009317065,2,10,2,"no"
0.9344,0.12703281031713,3,10,2,"no"
0.9456,0.126878274525063,1,30,2,"no"
0.9476,0.121831432098987,2,30,2,"no"
0.9418,0.119676547428563,3,30,2,"no"
0.9354,0.122260320713429,1,50,2,"no"
0.9422,0.119439632659414,2,50,2,"no"
0.9514,0.118395400723798,3,50,2,"no"
